Company Name,Category,Sub-Category,Hall,LinkedIn URL
Business France,Country Pavilion,,15,https://www.linkedin.com/company/business-france/
Vishwakarma University Institute of Technology,Academia,,15,https://www.linkedin.com/company/vishwakarma-university-institute-of-technology/
Bosch,Corporate,International,15,https://www.linkedin.com/company/bosch/
Centre for Journalism Innovation and Development CJID,Academia,,15,https://www.linkedin.com/company/centre-for-journalism-innovation-and-development-cjid/
Froncort.AI Pvt Ltd,Startup,,15,https://www.linkedin.com/company/froncortai/
Gnani.ai,Corporate,Domestic,15,https://www.linkedin.com/company/gnaniai/
Japan External Trade Organization,Country Pavilion,,15,https://www.linkedin.com/company/japan-external-trade-organization/
Head Held High Foundation Jan AI,Research,,15,https://www.linkedin.com/company/head-held-high-foundation-jan-ai/
HPE,Corporate,International,15,https://www.linkedin.com/company/hpe/
Indus IntelliRisk and IntelliSense Services Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/indus-intellirisk-and-intellisense-services/
Biotechnology Industry Research Assistance Council,Public Sector Units,,15,https://www.linkedin.com/company/biotechnology-industry-research-assistance-council/
MapZot.AI,Corporate,International,15,https://www.linkedin.com/company/mapzotai/
Mastercard,Corporate,International,15,https://www.linkedin.com/company/mastercard/
Microsoft,Corporate,International,15,https://www.linkedin.com/company/microsoft/
Nasscom,Corporate,Domestic,15,https://www.linkedin.com/company/nasscom/
International Neurodegenerative Disorders Research Center,Research,,15,https://www.linkedin.com/company/international-neurodegenerative-disorders-research-center/
NVIDIA,Corporate,Domestic,15,https://www.linkedin.com/company/nvidia/
Government of Andhra Pradesh Real Time Governance Society,Government,,15,https://www.linkedin.com/company/government-of-andhra-pradesh-real-time-governance-society-under-itec-department/
SapidBlue,Startup,,15,https://www.linkedin.com/company/sapidblue/
SAS Institute India Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/sas-institute-india/
Planetskool,Academia,,15,https://www.linkedin.com/company/planetskool/
Tech Mahindra,Corporate,Domestic,15,https://www.linkedin.com/company/tech-mahindra/
Transline Technologies Limited,Corporate,Domestic,15,https://www.linkedin.com/company/transline-technologies-limited/
Unique Identification Authority of India,Government,,15,https://www.linkedin.com/company/unique-identification-authority-of/
WFP India,Country Pavilion,,15,https://www.linkedin.com/company/wfp/
VVDN Technologies,Corporate,International,15,https://www.linkedin.com/company/vvdn/
Chat360.io Sumanel Technology Ventures Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/chat360io-sumanel-technology-ventures/
Taiyo.AI,Corporate,International,15,https://www.linkedin.com/company/taiyoai/
Embassy of the Kingdom of the Netherlands in India,Country Pavilion,,15,https://www.linkedin.com/company/embassy-of-the-kingdom-of-the-netherlands-in/
Turing Enterprises Rainphase Technologies,Corporate,Domestic,15,https://www.linkedin.com/company/turing-enterprises-rainphase/
Prismberry Technologies Pvt Ltd,Startup,,15,https://www.linkedin.com/company/prismberry-technologies/
iMerit Technology,Corporate,International,15,https://www.linkedin.com/company/imerit-technology/
Open AI,Corporate,Domestic,15,https://www.linkedin.com/company/openai/
IIT Bombay Indian Institute of Technology Bombay,Academia,,15,https://www.linkedin.com/company/iit-bombay-indian-institute-of-technology-bombay/
Genpact India Private Limited,Corporate,International,15,https://www.linkedin.com/company/genpact-india/
CoRover Private Limted,Corporate,Domestic,15,https://www.linkedin.com/company/corover-private-limted/
Jio Institute,Startup,,15,https://www.linkedin.com/company/jio-institute/
Indian Navy,Government,,15,https://www.linkedin.com/company/indian-navy/
Centre for Railway Information Systems CRIS,Government,,15,https://www.linkedin.com/company/centre-for-railway-information-systems-cris/
Ministry of Education,Government,,15,https://www.linkedin.com/company/ministry-of-education/
11ZA,Corporate,Domestic,15,https://www.linkedin.com/company/11za/
Ministry of Electronics and Information Technology,Government,,15,https://www.linkedin.com/company/ministry-of-electronics-and-information-technology/
Ministry of Information Broadcastings,Government,,15,https://www.linkedin.com/company/ministry-of-information--broadcastings/
Department of Food and Public Distribution Ministry of Consumer Affairs,Government,,15,https://www.linkedin.com/company/department-of-food-and-public-distribution-ministry-of-consumer-affairs/
Sarvam AI,Corporate,Domestic,15,https://www.linkedin.com/company/sarvam-ai/
Gujarat Informatics Limited,Government,,15,https://www.linkedin.com/company/gujarat-informatics-limited/
Ministry of Power,Government,,15,https://www.linkedin.com/company/ministry-of-power/
Government of Karnataka Department of Electronics IT and Biotechnology,Government,,15,https://www.linkedin.com/company/government-of-karnataka-department-of-electronics-it-and-biotechnology/
Bharat Electronics Ltd,Public Sector Units,,15,https://www.linkedin.com/company/bharat-electronics-ltd/
Anusandhan National Research Foundation ANRF,Government,,15,https://www.linkedin.com/company/anusandhan-national-research-foundation-anrf/
Kyndryl Solutions Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/kyndryl-solutions/
Government of Uttarakhand Department of Information Technology,Government,,15,https://www.linkedin.com/company/government-of-uttarakhand-department-of-information-technology/
NIMBORA,Startup,,15,https://www.linkedin.com/company/nimbora/
Government of Telangana T-Hub Foundation,Government,,15,https://www.linkedin.com/company/government-of-telangana-thub-foundation/
Protean International DMCC,Startup,,15,https://www.linkedin.com/company/protean-international-dmcc/
YuVerse,Startup,,15,https://www.linkedin.com/company/yuverse/
Apogean Technologies Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/apogean-technologies/
ShellKode,Startup,,15,https://www.linkedin.com/company/shellkode/
Mio AI Merrito,Corporate,Domestic,15,https://www.linkedin.com/company/mio-ai--merrito/
Haptik,Corporate,Domestic,15,https://www.linkedin.com/company/haptik/
Brandworks Technologies,Corporate,Domestic,15,https://www.linkedin.com/company/brandworks/
Anant Raj Cloud Pvt Ltd,Corporate,Domestic,15,https://www.linkedin.com/company/anant-raj-cloud/
Transport Corporation of India Limited,Corporate,Domestic,15,https://www.linkedin.com/company/transport-corporation-of-india-limited/
Government of Meghalaya Department of IT and Communications,Government,,15,https://www.linkedin.com/company/government-of-meghalaya-department-of-it-and-communications/
Government of Tamil Nadu,Government,,15,https://www.linkedin.com/company/government-of-tamil-nadu/
Centre for Open Societal Systems COSS by IIIT-Bangalore,Research,,15,https://www.linkedin.com/company/centre-for-open-societal-systems-coss-by-iiitbangalore-ekstep-foundation/
SpectraONE,Corporate,Domestic,15,https://www.linkedin.com/company/spectraone/
Zoho,Corporate,Domestic,15,https://www.linkedin.com/company/zohocorp/
Concret.io,Corporate,Domestic,15,https://www.linkedin.com/company/concretio/
Digital India Bhashini Division,Government,,15,https://www.linkedin.com/company/digital-india-bhashini-division/
Vicharak Computers Pvt Ltd,Startup,,15,https://www.linkedin.com/company/vicharak-computers/
Beyond Codes,Corporate,Domestic,15,https://www.linkedin.com/company/beyond-codes/
Government of Rajasthan Department of IT Communications,Government,,15,https://www.linkedin.com/company/government-of-rajasthan-department-of-it--communications/
Simplismart,Corporate,Domestic,15,https://www.linkedin.com/company/simplismart/
The Cutting Edge Group,Academia,,15,https://www.linkedin.com/company/the-cutting-edge-group/
ZingHR CNERGYIS INFOTECH INDIA Pvt Ltd,Startup,,15,https://www.linkedin.com/company/zinghr-cnergyis-infotech-india/
ALIMCO Artificial Limbs Manufacturing Corporation Of India,Public Sector Units,,15,https://www.linkedin.com/company/alimco-artificial-limbs-manufacturing-corporation-of/
R Process,Corporate,Domestic,15,https://www.linkedin.com/company/r-process/
